	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	N	mean	sd	min	max	sum_w	Var	skewness	kurtosis	sum	p1	p5	p10	p25	p50	p75	p90	p95	p99
																			
price	74	6,165	2,949	3,291	15,906	74	8.700e+06	1.653	4.819	456,229	3,291	3,748	3,895	4,195	5,006	6,342	11,385	13,466	15,906
mpg	74	21.30	5.786	12	41	74	33.47	0.949	3.975	1,576	12	14	14	18	20	25	29	34	41
rep78	69	3.406	0.990	1	5	69	0.980	-0.0570	2.678	235	1	2	2	3	3	4	5	5	5
headroom	74	2.993	0.846	1.500	5	74	0.716	0.141	2.208	221.5	1.500	1.500	2	2.500	3	3.500	4	4.500	5
trunk	74	13.76	4.277	5	23	74	18.30	0.0292	2.192	1,018	5	7	8	10	14	17	20	21	23
weight	74	3,019	777.2	1,760	4,840	74	604,030	0.148	2.118	223,440	1,760	1,830	2,020	2,240	3,190	3,600	4,060	4,290	4,840
length	74	187.9	22.27	142	233	74	495.8	-0.0410	2.042	13,907	142	154	157	170	192.5	204	218	221	233
turn	74	39.65	4.399	31	51	74	19.35	0.124	2.229	2,934	31	33	34	36	40	43	45	46	51
displacement	74	197.3	91.84	79	425	74	8,434	0.592	2.376	14,600	79	86	97	119	196	250	350	350	425
gear_ratio	74	3.015	0.456	2.190	3.890	74	0.208	0.219	2.102	223.1	2.190	2.280	2.430	2.730	2.955	3.370	3.720	3.780	3.890
foreign	74	0.297	0.460	0	1	74	0.212	0.887	1.787	22	0	0	0	0	0	1	1	1	1
																			
